company,slogan
3M Company,Science. Applied to life.
ADT Corp,Always There.
AES Corp,The Power of being Global
AFLAC Inc,Ask about it at work.
AGL Resources Inc.,Providing Tomorrow’s Energy.
AT&T Inc,Your world. Delivered.
AbbVie,People. Passion. Possibilities.
Abbott Laboratories,Life. To the fullest.
Accenture plc,High performance. Delivered.
Activision Blizzard,We make Great Games
Adobe Systems Inc,A new experience in user experience.
Advance Auto Parts,We’re Ready in Advance.
Aetna Inc,We want you to know.
Affiliated Managers Group Inc,A global asset under management
Agilent Technologies Inc,The world’s premier measurement company.
Air Products & Chemicals Inc,We are Air Products
Airgas Inc,You’ll find it with us.
Akamai Technologies Inc,"In a faster forward world, innovation doesn’t wait for technology"
Alcoa Inc,Inventing the future since 1888
Alexion Pharmaceuticals,Transforming patients’ lives through innovation.
Allegion,Pioneering safety around the world.
Allergan plc,"Our pursuit, Life’s potential"
Alliance Data Systems,All for Good. Good for All.
Allstate Corp,You’re in good hands.
Alphabet Inc,Don’t Be Evil.
Altria Group Inc,We’re A Company Moving Forward
Amazon.com Inc,Work Hard. Have Fun. Make History.
Ameren Corp,Focused Energy. For Life
American Airlines Group,Going for great.
American Electric Power,"AEP, America’s Energy Partner…"
American Express Co,Don’t Leave Home Without It
"American International Group, Inc.",We know money.
American Tower Corp A,Where you want to be.
American Water Works Company Inc,The Authoritative Resource on Safe Water
Ameriprise Financial,Be Brilliant
AmerisourceBergen Corp,Because It’s All Right Here.
Ametek,A Leading Global Manufacturer of Electronic Instruments and Electromechanical Devices
Amgen Inc,To Serve Patients.
Amphenol Corp A,Connecting tomorrow.
Anadarko Petroleum Corp,Bringing Excellence to the Surface.
"Analog Devices, Inc.",World leader in high performance signalprocessing.
Anthem Inc.,"Together, we are transforming health care with trusted and caring solutions"
Aon plc,Insure your vision.
Apache Corporation,Energy to Grow.
Apartment Investment & Mgmt,America Comes Home to Aimco.
Apple Inc.,Think Different.
Applied Materials Inc,Apply it.
Archer-Daniels-Midland Co,Resourceful by nature.
Assurant Inc,Assurant. On your terms.
AutoNation Inc,Driven to be the best.
AutoZone Inc,Get in the Zone.
Autodesk Inc,Design your world.
Automatic Data Processing,The Business behind business.
Avago Technologies,"Your Imagination, Our innovation."
"AvalonBay Communities, Inc.",Appreciating value.
Avery Dennison Corp,"Inspired Brands, Intelligent World."
BB&T Corporation,More than writing checks or making deposits…
BIOGEN IDEC Inc.,Transforming discovery into care.
Baker Hughes Inc,"Enabling safe, affordable energy, improving people’s lives."
Ball Corp,Products that reflect an innovation mindset.
Bank of America Corp,Think what we can do for you.
Bard (C.R.) Inc.,Advancing Lives and the Delivery of Health Care.
Baxalta,"Your Life, Our Inspiration."
Baxter International Inc.,Making a meaningful difference in patients’ lives.
Becton Dickinson,Helping all people live healthy lives.
Bed Bath & Beyond,Everything to Entertain.
Berkshire Hathaway,The Customer Is Always Right!
Best Buy Co. Inc.,Expert Service. Unbeatable Price.
BlackRock,Opportunity favors the prepared mind.
Block H&R,You got people.
Boeing Company,Forever New Frontiers.
BorgWarner,Feel good about driving.
Boston Properties,Experienced leadership.
Boston Scientific,Delivering what’s next.
Bristol-Myers Squibb,extending and enhancing human life.
Brown-Forman Corporation,We enrich the experience of life.
C. H. Robinson Worldwide,Get You There Faster.
"CA, Inc.",Agility made possible.
CBRE Group,Local Real Estate. Worldwide.
CBS Corp.,Only CBS
CF Industries Holdings Inc,Where chemistry grows.
CIGNA Corp.,A Business of Caring.
CME Group Inc.,How The World Advances.
CMS Energy,Count on Us.
CSRA Inc.,Enduring Values. Inspired Performance.
CSX Corp.,How tomorrow moves.
CVS Caremark Corp.,Health is everything.
Cablevision Systems Corp.,Reach Out and Touch Someone.
Cabot Oil & Gas,"Clean Energy, Stronger Communities."
Cameron International Corp.,Raising Performance. Together.
Campbell Soup,It’s Amazing What Soup Can Do!
Capital One Financial,What’s in your wallet?
Cardinal Health Inc.,Essential to care.
Carmax Inc,The Way Car Buying Should Be.
Carnival Corp.,Fun For All. All For Fun.
Caterpillar Inc.,Earthmoving solutions for today’s challenges.
Celgene Corp.,Committed to improving the lives of patients worldwide.
Centene Corporation,Better health outcomes at lower costs.
CenterPoint Energy,Always there.
CenturyLink Inc,Stronger Connected.
Cerner,Anticipate Innovate Accelerate.
Charles Schwab Corporation,Helping investors help themselves.
Chesapeake Energy,Natural Gas Wins the Day.
Chevron Corp.,"Finding newer, cleaner ways to power the world."
Chipotle Mexican Grill,Food with integrity.
Chubb Limited,Chubb. Insured.
Church & Dwight,The Standard of Purity.
